location_id,name,locality,timezone,country_code,provider_name,isMobile,isMonitor,latitude,longitude
2052,SLATER,,America/Chicago,US,AirNow,False,True,41.8829,-93.6879
2053,Newnan,,America/New_York,US,AirNow,False,True,33.4039,-84.7461
2055,Finger Lakes SP,Columbia,America/Chicago,US,AirNow,False,True,39.07803,-92.316322
2057,Niland - English Roa,El Centro,America/Los_Angeles,US,AirNow,False,True,33.2136,-115.5444
2058,FBHWWTP,NASSAU,America/New_York,US,AirNow,False,True,30.6575,-81.464167
2059,FAIRHOPE,Daphne-Fairhope,America/Chicago,US,AirNow,False,True,30.4889,-87.8706
2060,FAIRFIELD,Birmingham-Hoover,America/Chicago,US,AirNow,False,True,33.4856,-86.915
2061,CDF,SAN LUIS OBISPO,America/Los_Angeles,US,AirNow,False,True,35.04676,-120.58777
2062,NRP,San Luis Obispo-Paso Robles,America/Los_Angeles,US,AirNow,False,True,35.0315,-120.50101
2063,Noblesville-191st St,Indianapolis,America/Indiana/Indianapolis,US,AirNow,False,True,40.068297,-85.992451
2065,Evansville-Lloyd,Evansville,America/Chicago,US,AirNow,False,True,37.97768,-87.596836
2066,Nojoqui GTCB,,America/Los_Angeles,US,AirNow,False,True,34.5275,-120.1956
2067,Evans - Riverside Pa,Augusta-Richmond County,America/New_York,US,AirNow,False,True,33.5819,-82.1314
2068,Eugene - Highway 99,Eugene-Springfield,America/Los_Angeles,US,AirNow,False,True,44.067223,-123.14135
2069,Eugene - Amazon Park,Eugene-Springfield,America/Los_Angeles,US,AirNow,False,True,44.0263,-123.08377
2071,North Beach,,America/Los_Angeles,US,AirNow,False,True,36.5428,-117.9912
2072,North Bend-North Ben,Seattle-Tacoma-Bellevue,America/Los_Angeles,US,AirNow,False,True,47.4902,-121.772697
2075,SHIRLEY PLANTATION,Richmond,America/New_York,US,AirNow,False,True,37.34438,-77.25925
2076,SHELBY FARMS,Memphis,America/Chicago,US,AirNow,False,True,35.151588,-89.85022
2077,Sheboygan Kohler-And,SHEBOYGAN,America/Chicago,US,AirNow,False,True,43.665,-87.7161
2078,North OKC,Oklahoma City,America/Chicago,US,AirNow,False,True,35.612801,-97.47219800000002
2079,SETRPC 43 Jefferson,Beaumont-Port Arthur,America/Chicago,US,AirNow,False,True,29.9425,-94.0006
2080,SETRPC 40 Sabine Pas,Beaumont-Port Arthur,America/Chicago,US,AirNow,False,True,29.7181,-93.8969
2081,Seney,SCHOOLCRAFT,America/Detroit,US,AirNow,False,True,46.2889,-85.9503
2082,SEAFORD,Seaford,America/New_York,US,AirNow,False,True,38.6539,-75.6106
2083,Scranton,Scranton--Wilkes-Barre,America/New_York,US,AirNow,False,True,41.4428,-75.6231
2084,Scottville,MASON,America/Detroit,US,AirNow,False,True,43.9533,-86.2944
2085,SCHILPRK,Chicago-Naperville-Joliet,America/Chicago,US,AirNow,False,True,41.965,-87.8761
2086,SAULT STE MARIE,,America/Detroit,US,AirNow,False,True,46.49361,-84.364197
2087,North Spartanburg FS,Spartanburg,America/New_York,US,AirNow,False,True,34.988602,-82.0756
2088,Northwest Harris Co.,Houston-Sugar Land-Baytown,America/Chicago,US,AirNow,False,True,30.0394,-95.6739
2089,Incline,,America/Los_Angeles,US,AirNow,False,True,39.2517,-119.9564
2090,SAND ISLAND 2 - ANUE,Honolulu,Pacific/Honolulu,US,AirNow,False,True,21.3039,-157.8711
2091,Haws Athletic Center,Dallas-Fort Worth-Arlington,America/Chicago,US,AirNow,False,True,32.7592,-97.3414
2095,Hattiesburg,Hattiesburg,America/Chicago,US,AirNow,False,True,31.323995,-89.292219
2096,Indian Springs,,America/Los_Angeles,US,AirNow,False,True,36.569444,-115.676667
2100,Rumford,OXFORD,America/New_York,US,AirNow,False,True,44.5514,-70.5463
2101,Indio - Jackson Stre,,America/Los_Angeles,US,AirNow,False,True,33.7097,-116.2097
2102,Rte 9 Del. City,NEW CASTLE,America/New_York,US,AirNow,False,True,39.57768,-75.6036
2103,Notre Dame,Cleveland-Elyria-Mentor,America/New_York,US,AirNow,False,True,41.515051,-81.249906
2105,Rossville,,America/New_York,US,AirNow,False,True,34.9789,-85.3009
2106,Rosenstiel,Miami-Fort Lauderdale-Miami Beach,America/New_York,US,AirNow,False,True,25.7325,-80.162201
2107,Roseburg - Garden Va,,America/Los_Angeles,US,AirNow,False,True,43.2266,-123.36479
2108,Rose Elementary,Tucson,America/Phoenix,US,AirNow,False,True,32.1731,-110.9797
2109,Rosalia-S Josephine,Pullman,America/Los_Angeles,US,AirNow,False,True,47.2313,-117.3685
2110,Roosevelt,DUCHESNE,America/Denver,US,AirNow,False,True,40.2943,-110.009
2111,Rome,Rome,America/New_York,US,AirNow,False,True,34.26054,-85.32333
2112,DESPLNS,Chicago-Naperville-Joliet,America/Chicago,US,AirNow,False,True,42.0603,-87.8631
2114,Rocky Mountain NP,Fort Collins-Loveland,America/Denver,US,AirNow,False,True,40.2778,-105.5453
2115,Rocky Creek,Kansas City,America/Chicago,US,AirNow,False,True,39.33188,-94.5806
2116,Rockwall Heath C69,Dallas-Fort Worth-Arlington,America/Chicago,US,AirNow,False,True,32.9361,-96.4592
2117,Rockville,Washington-Arlington-Alexandria,America/New_York,US,AirNow,False,True,39.114399,-77.106903
